Data,PETR4- State,PETR4- Var%,BOVA11- State,BOVA11- Var%,ITUB4- State,ITUB4- Var%,VALE3- State,VALE3- Var%,BBAS3- State,BBAS3- Var%
19/03/18,0,-2.33%,1,1.40%,0,-2.15%,0,-2.85%,0,-2.36%
20/03/18,0,1.10%,0,-0.04%,0,0.32%,0,1.20%,0,0.39%
21/03/18,0,4.19%,0,-0.77%,0,-0.40%,0,2.18%,0,1.66%
22/03/18,0,-1.47%,0,2.31%,0,-0.32%,0,-1.33%,0,-1.80%
23/03/18,0,0.14%,0,2.94%,0,0.48%,0,-0.81%,0,-0.70%
26/03/18,0,1.25%,0,-7.41%,0,1.24%,0,0.96%,0,0.68%
27/03/18,0,-2.65%,0,-0.19%,0,-1.20%,0,-2.69%,0,-2.48%
28/03/18,0,-1.12%,0,1.09%,0,0.92%,0,1.66%,0,-0.32%
29/03/18,0,0.98%,0,-1.20%,0,1.34%,0,1.61%,0,1.76%
02/04/18,0,-2.39%,0,0.23%,0,-0.48%,0,1.88%,0,-1.90%
03/04/18,0,-0.90%,0,-0.70%,0,-0.94%,0,-0.31%,0,-1.32%
04/04/18,0,-1.61%,0,-1.67%,0,0.65%,0,-0.74%,0,0.83%
05/04/18,0,3.79%,0,-0.77%,0,0.20%,0,1.64%,0,2.92%
06/04/18,0,0.59%,0,1.67%,0,0.49%,0,-1.19%,-1,-1.31%
09/04/18,0,-3.48%,0,1.25%,0,-2.22%,0,0.51%,0,-3.64%
10/04/18,0,4.21%,0,-0.82%,0,0.50%,0,4.38%,0,-1.20%
11/04/18,0,1.85%,0,-0.74%,0,1.65%,-1,-0.44%,0,0.83%
12/04/18,0,-0.53%,0,0.57%,0,0.88%,0,0.37%,0,-0.26%
13/04/18,0,-2.21%,0,-1.35%,0,-2.32%,0,0.39%,0,-3.36%
16/04/18,0,-2.75%,0,1.73%,0,-1.47%,0,-0.98%,0,-3.56%
17/04/18,0,2.02%,0,-2.53%,0,1.65%,0,3.12%,0,2.40%
18/04/18,0,3.62%,0,0.56%,0,1.90%,0,3.38%,0,2.29%
19/04/18,0,1.87%,0,-0.15%,0,-0.93%,0,0.74%,0,0.05%
20/04/18,0,0.70%,0,-0.72%,0,-0.22%,0,-0.41%,0,-1.10%
23/04/18,0,0.56%,0,1.93%,0,0.18%,0,-0.28%,0,-1.81%
24/04/18,0,-0.37%,0,0.81%,0,-0.49%,0,1.71%,0,-0.97%
25/04/18,0,-2.98%,0,0.46%,0,-0.59%,0,-0.75%,0,1.31%
26/04/18,0,4.12%,0,0.77%,0,2.32%,0,1.57%,0,0.78%
27/04/18,0,0.37%,0,0.16%,0,-0.19%,0,-0.72%,0,0.00%
30/04/18,0,1.15%,0,2.53%,0,-0.95%,0,0.66%,0,-1.74%
02/05/18,0,-1.63%,0,0.01%,0,-4.50%,0,0.08%,0,-1.85%
03/05/18,0,-0.65%,0,1.60%,1,-1.97%,0,0.76%,0,-2.83%
04/05/18,0,-0.84%,0,1.03%,0,-1.17%,0,1.26%,0,-0.20%
