Data,Último,Var%
28/06/19,97.11,0.04%
28/07/17,63.39,0.54%
28/07/20,100.05,-0.41%
28/08/17,68.72,0.10%
28/08/18,74.79,-0.41%
28/08/19,94.58,0.99%
28/09/17,71.08,-0.36%
28/09/18,76.61,-0.60%
28/10/19,103.95,0.56%
28/11/17,71.86,0.38%
28/11/18,86,1.79%
28/11/19,104.38,0.68%
28/12/17,73.82,0.23%
28/12/18,84.6,2.36%
29/01/18,81.78,-1.05%
29/01/19,92.19,0.12%
29/01/20,110.88,-1.26%
29/03/17,63.48,1.57%
29/03/18,82.43,1.74%
29/03/19,91.81,0.87%
29/04/19,92.72,0.10%
29/04/20,80.18,2.40%
29/05/17,61.74,-0.34%
29/05/18,73.4,0.98%
29/05/19,93.06,0.23%
29/05/20,84.15,0.60%
29/06/17,60.1,0.25%
29/06/18,70.35,1.37%
29/06/20,92.3,2.31%
29/07/19,99.56,0.41%
29/07/20,101.48,1.43%
29/08/17,68.98,0.38%
29/08/18,75.68,1.19%
29/08/19,96.86,2.41%
29/09/17,71.58,0.70%
29/10/18,80.81,-2.30%
29/10/19,103.5,-0.43%
29/11/17,70.25,-2.24%
29/11/18,86.38,0.44%
29/11/19,104.35,-0.03%
30/01/17,62.26,-2.73%
30/01/18,81.61,-0.21%
30/01/19,93.52,1.44%
30/01/20,111.19,0.28%
30/03/17,63.15,-0.52%
30/03/20,71.97,2.49%
30/04/18,83.18,-0.35%
30/04/19,92.88,0.17%
30/04/20,77.21,-3.70%
30/05/17,61.9,0.26%
30/05/18,74.07,0.91%
30/05/19,93.96,0.97%
30/06/17,60.93,1.38%
30/06/20,91.62,-0.74%
30/07/18,77.42,0.38%
30/07/19,99.12,-0.44%
30/07/20,101.31,-0.17%
30/08/17,68.53,-0.65%
30/08/18,73.74,-2.56%
30/08/19,97.61,0.77%
30/09/19,101.01,-0.23%
30/10/17,72.35,-1.39%
30/10/18,83.76,3.65%
30/10/19,104.29,0.76%
30/11/17,69.4,-1.21%
30/11/18,86.37,-0.01%
30/12/19,111.23,-0.84%
31/01/17,62.39,0.21%
31/01/18,82,0.48%
31/01/19,94,0.51%
31/01/20,108.9,-2.06%
31/03/17,62.78,-0.59%
31/03/20,69.35,-3.64%
31/05/17,60.56,-2.16%
31/05/19,93.59,-0.39%
31/07/17,63.72,0.52%
31/07/18,76.45,-1.25%
31/07/19,97.98,-1.15%
31/07/20,99.29,-1.99%
31/08/17,68.41,-0.18%
31/08/18,74.12,0.52%
31/10/17,71.77,-0.80%
31/10/18,84.08,0.38%
31/10/19,103.23,-1.02%
